number,academic,conduct,year
1,16.5,85,5
2,45,86,4
3,22.11,87,4
4,90,88,4
5,73.14,86,4
6,43,85,4
7,70,85,4
8,60,85,5
9,60,85,5
10,73,89,4
11,32.67,89,4
12,88,85,4
13,60,89,4
14,91,86,4
15,72,85,4
16,85.28,88,4
17,0,88,4
18,66.94,86,4
19,60.55,85,4
20,70,85,4
21,76,85,4
22,38.68,85,4
23,65,83,4
24,70,86,5
25,0,85.5,5
26,73,86,5
27,80.33,88,5
28,0,87.5,5
29,64.25,86.5,5
30,67,86,5
31,0,86,4
32,9.5,86,4
33,63.87,85,4
34,0,87,4
35,90,86,4
36,50.86,89,4
37,63,89,4
38,92,89,4
39,51.32,85,3
40,71.29,85,4
41,0,85,4
42,70,85,4
43,18.67,85,4
44,68.33,85,4
45,62.14,87,4
46,0,87,4
47,75.36,88,4
48,81.5,81,4
49,0,87,4
50,80,81,4
51,45,85,4
52,68,85,4
53,65,85,4
54,92,85,4
55,41,87,4
56,53.82,87,4
57,54,89,4
58,79.43,85,4
59,73.67,89,4
60,45,89,4
61,80,89,4
62,72.67,86,4
63,75.38,86,4
64,85.63,86,4
65,83,86,4
66,64,86,4
67,73.14,86,4
68,23.29,87,4
69,90,88,4
70,83,86,4
71,63.43,86,4
72,43.71,87,4
73,70,85,4
74,51,85,4
75,77,85,4
76,60,85,4
77,43.43,90.5,4
78,8.1,86,4
79,63.96,85,4
80,75,85,4
81,75,85,4
82,71,85,4
83,76.25,85,4
84,73,85,4
85,66,85,4
86,68.13,85,4
87,92,85,4
88,40.5,85,4
89,67,85,4
90,66.67,83,4
91,70,87,4
92,70,86.5,5
93,64,86,5
94,48,86,5
95,86,88.5,5
96,70,86,5
97,76,87,5
98,0,87,5
99,62,88,4
100,78,88,4
101,75,88,4
102,72.5,90,4
103,71,85,4
104,70,86,4
105,46.75,86,4
106,80,85,4
107,72.27,86,3
108,88,87,4
109,77,88,4
110,9.43,85,4
111,56.65,85,4
112,23,85,4
113,74.44,85,4
114,49.14,85,4
115,18.3,85,4
116,90,85,4
117,60,85,4
118,72.64,87,4
119,53,85,4
120,28.05,85,4
121,0,85,4
122,79.54,85,4
123,75,85,4
124,71,85,4
125,82,86,4
126,78.15,87,4
127,0,86,4
128,32.5,87,4
129,60,88,4
130,60,85,4
131,64,85,4
132,48.53,85,5
133,84.33,85,5
134,66.62,87,5
135,71,88,4
136,59.5,85,4
137,72,85,4
138,77,85,4
139,76.63,87,4
140,0,88,4
141,88,85,4
142,74.4,91,4
143,73.2,91,4
144,62.33,91,4
145,71.74,85,4
146,57.82,86,4
147,78.95,85,4
148,70.65,85,4
149,61,85,4
150,54.78,91,4
151,64.09,91,4
152,74,91,4
153,51.63,91,4
154,50,91,4
155,75.06,95,4
156,8,89,4
157,81.5,95,4
158,49.5,95,4
159,36.07,87,2
160,84,89,4
161,66.23,89,4
162,45.71,89,4
163,84,89,4
164,62,95,4
165,85.25,89,4
166,66.25,89,4
167,2,89,4
168,73.56,89,4
169,67.65,85,4
170,1.55,85,4
171,36,85,4
172,60,85,4
173,71,85,4
174,64.67,85,4
175,85.75,85,4
176,60,85,4
177,64,85,4
178,93,85,4
179,84,85,4
180,78.25,85,4
181,74.43,85,4
182,77.28,85,4
183,78.33,85,4
184,72.36,85,4
185,59.38,85,4
186,60.62,85,4
187,61,87,4
188,82.5,89,4
189,73,89,4
190,80,88,4
191,72.33,87,4
192,74.71,88,4
193,70,87,4
194,74,89,4
195,41.95,87,4
196,27.81,84,3
197,60.15,87,4
198,64.05,87,4
199,0,81,4
200,60,81,4
201,51.5,81,4
202,88.8,85,4
203,74,81,4
204,79,81,4
205,80.17,81,4
206,49.29,81,4
207,69.63,81,4
208,74,85,4
209,88.8,85.5,4
210,87,85,4
211,57,85,4
212,60.14,85,4
213,55.44,85,4
214,87.76,85,4
215,67.14,86,4
216,71.5,85,4
217,77.91,85,4
218,58.21,85,4
219,73.1,85,4
220,42,85,4
221,41.05,85,4
222,92.4,85,4
223,85,85,4
224,87.25,85,4
225,74,85,4
226,76.5,85,4
227,83,87,4
228,64,87,4
229,45.71,86,4
230,60,87,4
231,65,87,4
232,59.7,86,4
233,67.5,87,4
234,77.5,86,4
235,0,85,4
236,77,85,4
237,50,86,4
238,0,86,4
239,0,87,4
240,57,86,4
241,62.52,86,4
242,56.15,87,4
243,67.5,86,4
244,55,86,4
245,84,86,4
246,81.33,86,4
247,62.14,86,4
248,47,85,4
249,92,86,4
250,49.38,85,4
251,92,85,4
252,62.69,86,4
253,79,87,4
254,65,86,4
255,87,89,4
256,54.5,85,4
257,75,86,4
258,0,85,4
259,81.38,85,4
260,43.82,86,3
261,51.11,85,4
262,53.67,85,4
263,55.14,85,4
264,68.44,81,4
265,87.5,85,4
266,68.26,85,4
267,63.22,85,4
268,83,86,4
269,72.94,85,4
270,63.85,85,4
271,83,81,4
272,77.67,87,4
273,0,87,4
274,66,87,4
275,65.05,88,4
276,0,88,4
277,71,87,4
278,73.63,87,4
279,47.2,87,4
280,64,88,4
281,41.63,87,4
282,69.25,87,4
283,81.5,87,4
284,76.33,88,4
285,72,87,4
286,67.32,87,4
287,70,88,4
288,75.1,89,4
289,6,82,3
290,66.47,89,4
291,82,89,4
292,66,89,4
293,86.95,87,4
294,66,89,4
295,78,89,4
296,60.05,89,4
297,63.9,89,4
298,58.41,90,4
299,83,89,4
300,86,89,4
301,64.4,89,4
302,52.37,85,4
303,59.52,89,4
304,55.1,78.5,4
305,71.88,89,4
306,66.63,91,4
307,60,89,4
308,64.67,89,4
309,78.25,89,4
310,66,91,4
311,73.57,91,4
312,63.36,90,4
313,65,89,4
314,62.95,81,3
315,50.43,89,4
316,41,89,4
317,59,89,4
318,72.38,89,4
319,67,90,4
320,81.5,86,4
321,0,86,4
322,72.32,86,4
323,66.75,86,4
324,62.73,86,4
325,61.13,86,4
326,72,86,4
327,49,86,4
328,52.5,86,4
329,76.5,86,4
330,82.75,86,4
331,71,86,4
332,75.72,85,4
333,66.75,86,4
334,56.63,85,4
335,71.62,70,4
336,72.89,86,4
337,63.57,86,4
338,71.75,86,4
339,47,86,4
340,61.82,86,4
341,77.61,86,4
342,71.59,88.5,4
343,71,88,4
344,74,86,4
345,58,86,4
346,63,85,4
347,78,87,4
348,0,87,4
349,81.43,85,4
350,67,85,4
351,4.25,87,4
352,77.4,87,4
353,79.5,86,4
354,68.88,87,4
355,60,87,4
356,27,87,4
357,72,87,4
358,67,86,4
359,75.8,87,4
360,65,86,4
361,79.92,89,5
362,53,88,4
363,0,87,4
364,43.71,89,4
365,77.43,86,4
366,47.5,86,4
367,77,85,4
368,69.6,85,4
369,60.4,85,4
370,70,85,4
371,87.57,85,4
372,67,86,4
373,63.5,86,4
374,56,85,4
375,74.09,89,3
376,72,85,4
377,66,85,4
378,89,86,4
379,52.8,86,4
380,69.59,85,4
381,50.63,85,4
382,93,86,4
383,68.67,86,4
384,86.23,85,4
385,68,85,4
386,60,85,4
387,69.57,85,4
388,65.83,85,4
389,65,85,4
390,68,85,4
391,77.88,85,4
392,72.8,85,4
393,75.2,85,4
394,65.72,85,4
395,61.82,85,4
396,79,85,4
397,58.14,85,4
398,70.57,85,4
399,78.5,85,4
400,75,85,4
401,74.23,85,4
402,82.57,86,4
403,70,86,4
404,75.38,86,4
405,82,86,4
406,68,86,4
407,72.8,86,4
408,86,86,4
409,41,86,4
410,86.13,86,4
411,75.33,86,4
412,39.47,87,4
413,61.59,86,4
414,58.95,86,4
415,64,86,4
416,82,87,4
417,76,86,4
418,91,86,4
419,77.9,86,4
420,58,86,4
421,67.67,86,4
422,66.21,85,4
423,57.27,85,4
424,56.43,85,4
425,62.68,85,3
426,76,85,4
427,71,85,4
428,60.67,85,4
429,62.64,85,4
430,84.4,85,4
431,74.22,85,4
432,67.91,85,4
433,52,85,4
434,66.86,85,4
435,80.63,85,4
436,24.25,86,4
437,76,85,4
438,48.75,85,4
439,72,85,4
440,71.36,86,4
441,77.63,85,4
442,0,85,4
443,67.5,85,4
444,73.14,85,4
445,56.25,85,4
446,76.6,85,4
447,81,85,4
448,77.4,85,4
449,82.29,85,4
450,46.8,85,4
451,78.67,85,4
452,72.86,85,4
