Country	Year	GDP_per_capita	GDP_growth	Temporary_worker	Unemployment	Alcohol_cunsumption	Suicide
Belgium	1996	27701.90329	1.395093527	5.9	9.5	10.9	19.6
Belgium	1997	25027.74459	3.459777513	6.27	9	10.9	20.9
Belgium	1998	25541.67472	1.757761266	7.79	9.300000191	9.9	19.6
Belgium	1999	25444.13926	3.326227517	10.28	8.600000382	10.1	17.8
Belgium	2000	23207.40591	3.382626314	9.13	6.599999905	11.2	20.5
Belgium	2001	23121.60114	0.465396765	8.78	6.199999809	11	20.5
Belgium	2002	25052.33939	1.325277038	8.15	6.900000095	11.3	19.5
Belgium	2003	30743.90254	0.353564926	8.38	7.699999809	11.3	19.7
Belgium	2004	35589.68912	3.187131123	8.72	7.400000095	12.1	18.4
Belgium	2005	36967.25918	1.534238995	8.86	8.399999619	12.3	18.6
Belgium	2006	38852.37293	1.83227715	8.73	8.199999809	11	17.7
Belgium	2007	44403.7669	2.692098469	8.65	7.5	10.3	16.7
Belgium	2008	48424.5756	-0.009854203	8.27	7	10.5	17.9
Belgium	2009	44880.57302	-3.036489674	8.23	7.900000095	10.1	17.9
Belgium	2010	44380.17663	1.809776856	8.12	8.300000191	10.2	17.8
Belgium	2011	47702.81189	0.396258392	8.96	7.099999905	10.1	18.1
Belgium	2012	44740.58325	-0.490304014	8.14	7.5	10.1	17.4
Belgium	2013	46582.66955	-0.288318453	8.21	8.399999619	11.8	16.2
Belgium	2014	47379.17392	1.114174168	8.66	8.5	12.6	16.1
Denmark	1996	6493.863346	4.344181048	11.24	3.900000095	12.2	16.8
Denmark	1997	5996.83381	-0.487479421	11.09	4.300000191	12.2	15.4
Denmark	1998	6458.904501	-0.234237455	10.11	5.900000095	11.6	14.2
Denmark	1999	33440.80162	2.607929249	10.16	5.099999905	11.6	14.2
Denmark	2000	30743.55917	3.400722038	9.74	4.5	13.1	13.5
Denmark	2001	30751.64946	0.462530611	9.16	4.199999809	13.1	13.3
Denmark	2002	33228.69291	0.145880086	9.07	4.300000191	13.1	12.5
Denmark	2003	40458.77064	0.117373434	9.26	5.400000095	13	11.5
Denmark	2004	46511.60457	2.403208255	9.45	5.199999809	12.8	12
Denmark	2005	48799.82037	2.055133635	9.84	4.800000191	12.7	11.3
Denmark	2006	52026.99311	3.572035729	8.93	3.900000095	12.2	11.6
Denmark	2007	58487.04501	0.462745499	9.05	3.799999952	12.1	10.3
Denmark	2008	64322.06664	-1.094850556	8.53	3.400000095	10.9	10.7
Denmark	2009	58163.29359	-5.413991945	8.71	6	10.1	10.8
Denmark	2010	58041.41123	1.419488116	8.43	7.5	10.3	9.8
Denmark	2011	61753.66007	0.920390598	8.84	7.599999905	10.5	10.2
Denmark	2012	58507.50021	-0.149947287	8.54	7.5	9.3	11.3
Denmark	2013	61191.19263	0.513432702	8.76	7	9.4	10.3
Denmark	2014	62548.98502	1.105414721	8.5	6.599999905	9.4	10.6
France	1996	27015.25896	1.029646983	12.61	12.39999962	14.5	19.4
France	1997	24359.42506	1.975961282	13.12	12.60000038	14.3	19
France	1998	25101.36874	3.175182483	13.94	12.10000038	14.5	18
France	1999	24799.29601	2.876491076	14.01	12	14.4	17.5
France	2000	22465.64184	3.166120141	15.44	10.19999981	13.9	18.2
France	2001	22527.31775	1.215127417	14.86	8.600000382	14.1	17.5
France	2002	24275.2426	0.385760676	14.13	8.699999809	13.9	17.6
France	2003	29691.18158	0.10747347	13.42	8.300000191	13.4	17.8
France	2004	33874.74255	2.032366715	13.29	8.899999619	13.1	17.5
France	2005	34879.72633	0.844668773	13.9	8.5	12.9	17.1
France	2006	36544.50853	1.663680076	14.82	8.399999619	13.1	16.5
France	2007	41600.58398	1.73013171	15.07	7.699999809	12.9	15.8
France	2008	45413.06571	-0.363092337	15.05	7.099999905	12.5	16.1
France	2009	41631.13141	-3.439412268	14.48	8.699999809	12.6	16.2
France	2010	40703.34279	1.463151139	15.1	8.899999619	12.3	15.9
France	2011	43810.20088	1.586720162	15.36	8.800000191	12.4	15.8
France	2012	40838.02444	-0.301002029	15.25	9.399999619	12.2	14.6
France	2013	42554.12205	0.059969465	16	9.899999619	11.6	14.3
France	2014	42955.24287	0.440219969	16.03	10.30000019	12	13.71
Germany	1996	30564.24781	0.526477107	11.11	8.800000191	13.1	14.4
