time	month	price	quantity	temperature	rainfall	CPI	average_wage	unemployment_rate
200301	1	192.7	214641	16.6	22.9	90.25	73045	5.03
200302	2	150.4	161648.1	18.7	50.4	88.99	39401	5.17
200303	3	165.7	236169.1	19.4	106.4	88.71	37952	5.08
200304	4	214.6	215096	23.2	97.9	89.68	38309	4.92
200305	5	207.9	143308	25.6	162.6	89.63	38850	4.98
200306	6	192.4	132486.1	26.6	112.8	89.11	38336	5.09
200307	7	200.3	165110.5	29.4	2.5	88.74	38875	5.16
200308	8	159.9	272767.9	28.7	223.2	89.07	39694	5.21
200309	9	148.6	274986.5	28.3	5	89.34	40670	5.05
200310	10	149.6	331286.1	25.4	0.6	89.98	38292	4.92
200311	11	177.5	205597.9	22.7	1.8	89.58	38138	4.71
200312	12	199.9	146320.5	18.2	0	89.56	43422	4.58
200401	1	226.5	201832.5	16.7	3.7	90.26	75920	4.53
200402	2	185.6	216579.7	17.1	26.7	89.56	39580	4.61
200403	3	214.6	164778.2	18.7	24	89.5	38952	4.45
200404	4	237	156777.3	23.1	68.2	90.53	38740	4.36
200405	5	256.8	145234.4	26.3	82.5	90.45	38844	4.41
200406	6	221.6	125163	27.6	1.8	90.66	39956	4.54
200407	7	224.7	116610.9	27.9	372.9	91.7	39858	4.62
200408	8	178.1	244932.8	28.5	188.2	91.34	41081	4.67
200409	9	164.9	197334.5	27.3	353.1	91.83	40131	4.5
200410	10	170.3	248996.2	24.1	6	92.13	38736	4.31
200411	11	180.1	168696.4	22.7	0.7	90.95	38460	4.14
200412	12	184.5	201819	19.4	87.8	91.01	42704	4.09
200501	1	166.5	191108.3	15.4	9.8	90.7	65044	4.06
200502	2	223	149772.3	16.3	58.3	91.3	55615	4.28
200503	3	164.1	221622.8	17.2	149.6	91.56	39102	4.15
200504	4	212.3	172360.7	23.5	30.9	92.02	38800	4.04
200505	5	236.2	129725	26.3	131.2	92.53	38987	4.1
200506	6	189.4	118555.5	27.6	313	92.82	40013	4.22
200507	7	200.9	146834.6	28.8	135	93.9	39709	4.32
200508	8	220.8	103597.8	28.3	348.5	94.6	40949	4.36
200509	9	169.7	85732	28.2	332.7	94.73	40283	4.14
200510	10	157.1	129257.4	25.9	71.9	94.66	38557	4.07
200511	11	181.7	107887.4	23.7	0	93.23	38560	3.94
200512	12	195.4	90982.1	17.7	8.6	93.02	42703	3.86
200601	1	238.4	205018	16.6	8.1	93.12	82092	3.8
200602	2	193.9	125810.2	17.4	86.2	92.2	39977	3.92
200603	3	190.3	171117.7	19.6	47.1	91.94	39075	3.87
200604	4	223.4	184064.4	24.1	76.8	93.15	39427	3.78
200605	5	233	161433.8	25.9	74.3	94	40353	3.84
200606	6	232.2	150966.7	27.6	417.1	94.43	39567	3.98
200607	7	222.3	150911.7	28.8	489.5	94.64	39784	4.05
200608	8	224.6	149165.7	28.9	118	94.07	41260	4.09
200609	9	210.6	164814.4	27.7	41.1	93.56	39936	3.96
200610	10	178.7	188730.4	26.4	0	93.53	39583	3.9
200611	11	203.8	126731.1	24.1	106.6	93.45	38818	3.86
200612	12	215.1	108271.2	19.7	42	93.65	42482	3.81
200701	1	201.8	126649.6	16.6	37	93.45	48935	3.79
200702	2	271.3	147646.4	19.8	29.4	93.81	74819	3.78
200703	3	208.9	106896.6	20.8	13.1	92.72	39632	3.94
200704	4	242.7	134911.9	22.4	71.1	93.79	39470	3.83
200705	5	223.9	105024.4	26.2	59.4	93.98	40513	3.87
200706	6	259.1	51601.8	28.1	96.7	94.55	40856	3.96
200707	7	262.7	57314.3	29.7	5.4	94.33	41540	4.03
200708	8	242.3	160546.4	28.1	448.1	95.58	41496	4.09
200709	9	203	155842.5	27.8	34	96.47	42680	3.99
200710	10	164.7	216400.5	25.3	169	98.52	39759	3.92
200711	11	175.4	127352.6	21.6	14.7	97.94	39614	3.87
200712	12	191.1	158611.9	19.5	1.5	96.77	43968	3.83
200801	1	232.4	151173.4	17.4	22.8	96.2	65880	3.8
200802	2	248.5	117012.3	13.2	17.5	97.43	59584	3.94
200803	3	214.1	176000.7	20.5	26.4	96.38	40325	3.86
200804	4	257.2	171448.6	23.6	73.3	97.42	40239	3.81
200805	5	273.3	133326.3	25.8	63.5	97.47	40590	3.84
200806	6	269.6	109645.3	27.2	228.6	99.25	41230	3.95
200807	7	230.9	134514.6	28.1	767.2	99.81	42746	4.06
200808	8	213.5	193928.4	28.4	94.7	100.06	41486	4.14
200809	9	179.1	192158.2	28	124.1	99.46	41357	4.27
200810	10	158.6	265515.9	26.2	57	100.87	39600	4.37
200811	11	166.9	265160.8	22.5	28	99.83	38189	4.64
200812	12	220.3	126518.4	19.6	9.5	97.99	41898	5.03
200901	1	277.8	142640.7	16.4	0.3	97.62	68240	5.31
200902	2	239.1	90121.6	20.3	1.7	96.13	41187	5.75
200903	3	236.4	86313.4	19.4	65.6	96.24	38645	5.81
200904	4	260.4	122318.6	22.1	78.8	96.97	38974	5.76
200905	5	247.9	99296.6	25.5	4.2	97.38	39778	5.82
200906	6	235.6	86465.6	27.7	159.3	97.29	38306	5.94
200907	7	253.4	95499.3	28.8	109.1	97.48	39720	6.07
200908	8	242.8	93002.3	28.8	455.3	99.24	39621	6.13
