編號,性別,小考分數,睡覺時間,起床時間
1,男,9.5,23.5,9
2,男,8,22,6
3,男,8.5,0,9
4,男,9.5,0,7
5,男,8,22,6
6,女,6.5,0,8
7,女,6.5,2,10
8,女,6.5,1,8
9,女,9,0,10
10,女,4.5,22.5,8
11,男,8,3,11
12,女,9,0,7.5
13,男,9,0,7
14,女,9,0,9
15,男,10,0,5.5
16,男,5.5,2,10
17,女,10,1,10
18,女,9,0,9
19,女,7.5,1,9
20,女,10,1,9
21,女,10,1,10
22,男,6,1,9
23,男,10,1,7
24,女,10,1,8
25,男,4.5,0,8
26,女,8,0,8
27,女,10,1,8
28,女,8,23,7
29,女,10,0,9
30,女,9.5,1.5,8
31,女,8.5,1,10
32,女,6,1,8
33,女,6,0,8
34,女,9,1,7
35,男,9,1,7.5
36,女,8,0,9
37,女,7.5,0,9
38,女,6,1,10
39,女,10,1,10
40,女,6,0,8
41,女,9,1,9
42,女,6.5,0,9
43,女,6,2,9
44,女,9,0,8
45,女,9,0,8
46,女,10,2,9
47,男,9,1,10
48,女,10,1,8
49,女,9,1,6
50,男,9.5,2,9
51,女,7.5,2,12
52,女,8.5,0.5,7.5
53,女,10,1,7
54,女,5,0.5,10
55,女,10,2,11
56,女,9.5,0,8
57,男,8,1,10
58,男,9,0,9
59,女,10,1,9
60,女,10,0,7
61,女,4,2,7
62,男,8,0,8
