Country	Year	GDP_per_capita	GDP_growth	Temporary_worker	Unemployment	Alcohol_cunsumption	Suicide
Luxembourg	1996	52571.93499	0.017735616	2.64	3.299999952	13.3	17.5
Luxembourg	1997	47042.34711	4.392913487	2.13	2.5	13	19.6
Luxembourg	1998	47584.46439	4.733762793	2.88	2.799999952	12.9	14.9
Luxembourg	1999	51654.4028	7.025685347	3.4	2.400000095	12.9	16.2
Luxembourg	2000	48735.99549	6.7946998	3.4	2.400000095	13.1	14.5
Luxembourg	2001	48179.42085	1.318613123	4.36	1.799999952	12.9	16.8
Luxembourg	2002	52930.64115	2.737471625	4.3	2.599999905	12.9	19.2
Luxembourg	2003	65445.88503	0.401760622	3.13	3.700000048	12.6	10.8
Luxembourg	2004	75716.35108	2.149919484	4.79	5.099999905	12.4	13.5
Luxembourg	2005	80289.69641	1.605863285	5.28	4.5	11.8	10.5
Luxembourg	2006	89739.7117	3.514143359	6.07	4.699999809	12	13.5
Luxembourg	2007	106018.4928	6.693995465	6.82	4.099999905	11.8	16.2
Luxembourg	2008	114293.8433	-3.02853191	6.22	5.099999905	11.5	8.4
Luxembourg	2009	103198.6693	-6.113373324	7.18	5.099999905	11.4	9.3
Luxembourg	2010	104965.3061	2.968122577	7.1	4.400000095	11.4	10.3
Luxembourg	2011	115761.5077	0.285277468	7.13	4.900000095	11.5	10.4
Luxembourg	2012	106749.0136	-2.717088655	7.69	5.099999905	11.3	9.4
Luxembourg	2013	113625.1329	1.286206821	7.1	5.800000191	11	7.3
Luxembourg	2014	119225.38	3.308044869	8.17	5.800000191	11.1	11.8
