ID,gender,call,guess,sample_mean
1,0,1,3,0
2,0,0,1.3,1.2
3,1,0,1,2
4,1,0,1.4,1.6
5,1,0,1,1.6
6,0,0,0.5,1
7,0,2,1,0.4
8,0,0,1,0.6
9,0,0,1,0.4
10,0,0,0.5,0.4
11,1,2,1.5,0.6
12,1,0,0.5,0.6
13,1,5,1.2,0
14,1,3,2,1
15,1,0,1.5,1.6
16,0,0,1,1
17,0,3,1,0.4
18,0,2,1,0.6
19,0,1,0.4,0.8
20,0,3,2,0.4
21,0,1,2,0.8
22,0,1,1.8,1.4
23,0,2,1.6,1.8
24,0,0,1.2,0.8
25,1,0,1.3,1
26,1,0,1,1
27,1,0,0.1,1
28,1,0,0.4,1
29,1,0,0.8,0.4
30,1,0,0.6,1
31,1,0,0.6,0.2
32,1,0,0,0.2
33,1,0,0,0.2
34,0,0,1.2,1
35,0,0,1,0.2
36,0,3,0,0.4
37,0,2,2,1.2
38,0,1,2,1
39,0,1,1,0.4
40,0,0,0.8,0.6
41,0,0,0.5,0.6
42,0,0,0.5,0.2
43,0,0,1,1
44,0,2,0.8,0.6
45,1,1,2,1
46,0,0,0.5,0.4
47,0,2,0.6,0.4
48,0,0,0.8,0.6
