日期	台積電收盤價_新台幣元	台積電成交量_千股	聯電收盤價_新台幣元	聯電成交量_千股
1995/1/5	3.23	1548	7.03	4097
1995/1/6	3.21	862	6.91	7148
1995/1/7	3.21	801	6.88	2414
1995/1/9	3.15	1696	6.8	1912
1995/1/10	3.12	2012	6.68	4633
1995/1/11	3.11	532	6.65	3246
1995/1/12	3.08	1637	6.65	4732
1995/1/13	3.04	1172	6.65	3159
1995/1/14	2.92	2869	6.34	6815
1995/1/16	2.86	1709	6.14	8435
1995/1/17	2.85	1685	6.11	5252
1995/1/18	2.89	2007	6.23	3674
1995/1/19	3.02	3731	6.4	9221
1995/1/20	2.95	2288	6.11	5761
1995/1/21	3.05	2099	6.25	4321
1995/1/23	2.92	1825	6.05	4372
1995/1/24	2.9	2259	5.77	8942
1995/1/25	2.98	1121	5.88	4902
1995/1/26	2.94	945	5.85	4250
1995/2/4	2.98	685	5.94	3592
1995/2/6	3.08	1342	6.34	7161
1995/2/7	3.07	1623	6.4	9492
1995/2/8	3.05	627	6.43	4495
1995/2/9	3.06	567	6.4	4966
1995/2/10	3.09	829	6.48	5393
1995/2/11	3.12	1173	6.51	4441
1995/2/13	3.1	821	6.45	7681
1995/2/14	3.09	586	6.45	4274
1995/2/15	3.17	1996	6.54	4566
1995/2/16	3.25	2674	6.6	8689
1995/2/17	3.29	2161	6.71	8111
1995/2/18	3.25	989	6.65	3969
1995/2/20	3.19	916	6.57	3438
1995/2/21	3.25	567	6.57	2554
1995/2/22	3.29	1643	6.51	1882
1995/2/23	3.27	548	6.43	2453
1995/2/24	3.33	3517	6.48	3039
1995/2/25	3.35	718	6.54	1733
1995/2/27	3.25	3798	6.28	9345
1995/2/28	3.23	1489	6.23	3929
1995/3/1	3.08	2455	6	6670
1995/3/2	3.15	677	6.08	3860
1995/3/3	3.19	495	6.14	2583
1995/3/4	3.23	687	6.2	2597
1995/3/6	3.25	723	6.11	1879
1995/3/7	3.31	2229	6.08	3485
1995/3/8	3.27	1816	6	2575
1995/3/9	3.31	2893	6	3971
1995/3/10	3.33	1379	6.14	3200
1995/3/11	3.33	1127	6.17	3875
1995/3/13	3.4	3468	6.23	5430
1995/3/14	3.35	1335	6.23	3918
1995/3/15	3.42	3960	6.57	13711
1995/3/16	3.42	1347	6.51	7000
1995/3/17	3.46	2519	6.63	11389
1995/3/18	3.42	994	6.68	4800
1995/3/20	3.46	1970	6.63	4426
1995/3/21	3.44	1653	6.63	10127
1995/3/22	3.44	2809	6.57	10704
1995/3/23	3.46	973	6.48	4387
1995/3/24	3.46	1708	6.6	6694
1995/3/25	3.54	5532	6.74	15265
1995/3/27	3.6	4589	7.08	22252
1995/3/28	3.65	3537	7.17	21743
1995/3/30	3.85	9538	7.51	31132
1995/3/31	3.92	6620	7.37	19564
1995/4/1	3.87	5956	7.37	12786
1995/4/6	3.96	8601	7.6	19170
1995/4/7	3.87	4385	7.43	18903
1995/4/8	3.85	3407	7.4	13368
1995/4/10	3.87	2533	7.31	7820
1995/4/11	3.9	5702	7.31	10502
1995/4/12	3.92	3567	7.45	13633
1995/4/13	3.85	3502	7.45	11885
1995/4/14	3.75	5273	7.2	10578
1995/4/15	3.65	5578	7.03	6617
1995/4/17	3.67	2989	7.17	8712
1995/4/18	3.58	3114	7.2	15681
1995/4/19	3.6	2241	7.17	6929
1995/4/20	3.58	1311	7.2	4895
1995/4/21	3.56	3777	7.23	18842
1995/4/22	3.6	1699	7.23	8233
1995/4/24	3.67	3219	7.4	14248
1995/4/25	3.62	2279	7.45	26515
1995/4/26	3.6	3695	7.08	23958
1995/4/27	3.6	2525	7.2	12437
1995/4/28	3.62	2023	7.14	9242
1995/4/29	3.62	1835	7.25	8896
1995/5/1	3.62	974	7.23	4446
1995/5/2	3.6	1046	7.31	12778
1995/5/3	3.6	808	7.25	9117
1995/5/4	3.58	1092	7.08	11621
1995/5/5	3.42	4369	6.71	21953
1995/5/6	3.48	2176	6.88	15233
1995/5/8	3.52	1683	6.91	9851
1995/5/9	3.62	3573	7.08	15524
1995/5/10	3.62	2835	7.17	16361
1995/5/11	3.67	1769	7.23	16148
1995/5/12	3.67	1519	7.14	8608
1995/5/13	3.83	5818	7.43	16500
1995/5/15	3.81	3244	7.37	13536
1995/5/16	3.81	2831	7.37	6897
1995/5/17	3.79	2711	7.43	14764
1995/5/18	3.81	1847	7.45	7334
1995/5/19	3.79	2055	7.43	15512
1995/5/20	3.81	2307	7.37	12542
1995/5/22	3.79	1308	7.37	8336
1995/5/23	3.83	1915	7.4	7972
1995/5/24	3.85	1644	7.45	7114
1995/5/25	3.9	8646	7.54	27643
1995/5/26	3.85	4702	7.45	14368
1995/5/27	3.77	2762	7.28	11372
1995/5/29	3.69	4150	7.17	14781
1995/5/30	3.75	1595	7.25	6525
1995/5/31	3.9	6600	7.25	10553
1995/6/1	3.92	3007	7.34	7031
1995/6/5	3.87	2734	7.34	7082
1995/6/6	3.94	3561	7.48	10015
1995/6/7	3.96	6044	7.51	21883
1995/6/8	4	4786	7.65	13656
1995/6/9	4.04	3174	7.57	11163
1995/6/10	4.02	3139	7.65	6940
1995/6/12	4.04	3385	7.65	5314
1995/6/13	4.08	5288	7.57	13774
1995/6/14	3.96	11420	7.37	25077
1995/6/15	3.85	28911	6.94	26393
1995/6/16	4.01	14095	7.08	18505
1995/6/17	3.91	8640	7	13064
1995/6/19	3.85	4207	6.8	7921
1995/6/20	3.87	3876	6.88	8522
1995/6/21	3.89	4706	6.85	6052
1995/6/22	4.01	5764	7	8161
1995/6/23	4.08	8868	7.11	7396
1995/6/24	4.2	7704	7.28	9193
1995/6/26	4.49	13617	7.54	19046
1995/6/27	4.41	16686	7.37	13746
1995/6/28	4.52	15227	7.37	13688
1995/6/29	4.68	21155	7.54	27826
1995/6/30	4.81	14070	7.57	15287
1995/7/3	4.51	16216	7.28	14083
1995/7/4	4.6	12140	7.6	14173
1995/7/5	4.62	8619	7.68	17521
1995/7/6	4.64	10279	7.77	23762
1995/7/7	4.68	7196	7.83	14594
1995/7/8	4.56	6928	7.71	12464
1995/7/10	4.54	4684	7.71	9002
1995/7/11	4.6	3952	7.8	8783
1995/7/12	4.52	6017	7.77	11159
1995/7/13	4.64	6932	7.88	10087
1995/7/14	4.56	5526	7.8	11455
1995/7/15	4.52	5443	7.94	14232
1995/7/17	4.35	8648	7.8	14065
1995/7/18	4.37	8300	7.74	13406
1995/7/19	4.24	13371	7.25	26408
1995/7/20	4.1	12629	6.83	17914
1995/7/21	4.12	8078	7.03	15749
1995/7/22	4.16	8408	7.11	10803
1995/7/24	4.1	4522	7	7271
1995/7/25	3.83	10141	6.51	23186
1995/7/26	3.85	12258	6.37	11633
1995/7/27	4.12	9640	6.8	11543
1995/7/28	4.1	8318	7	8833
1995/7/29	4.03	3871	7	7686
1995/7/31	3.95	5090	6.85	15114
1995/8/1	3.83	9698	7.1	25652
1995/8/2	3.66	13466	6.7	19911
1995/8/3	3.8	11843	6.88	16932
1995/8/4	3.83	8017	6.92	18292
1995/8/5	3.7	8027	6.74	15769
1995/8/7	3.76	7072	6.97	14636
1995/8/8	3.8	6552	6.92	9978
1995/8/9	3.7	7240	6.65	11258
1995/8/10	3.78	3377	6.74	6832
1995/8/11	3.72	7725	6.47	11999
1995/8/12	3.89	12317	6.7	11010
1995/8/14	3.8	6451	6.61	6734
1995/8/15	3.85	5398	6.65	7298
1995/8/16	4.06	10394	6.83	15859
1995/8/17	4.12	12238	6.74	14036
1995/8/18	4.16	5872	6.88	9954
1995/8/19	4.12	4318	6.74	5382
1995/8/21	4.12	3036	6.79	3592
1995/8/22	4.18	5804	6.88	3108
1995/8/23	4.08	5299	6.74	6271
1995/8/24	3.95	6505	6.61	5201
1995/8/25	3.95	6775	6.65	5872
1995/8/26	3.97	3396	6.65	3465
1995/8/28	4.03	3063	6.7	2596
1995/8/29	4.06	3365	6.65	4470
1995/8/30	4.08	3251	6.7	6061
1995/8/31	4.05	2991	6.65	2951
1995/9/1	4.05	2643	6.7	3944
1995/9/2	4.05	1672	6.74	3306
1995/9/4	4.12	3655	6.83	10565
