ID	gender	lunch	dinner	sample_mean
1	1	100	120	90.5
2	0	100	45	88.3
3	0	80	55	90
4	0	50	50	84.9
5	0	100	40	77.6
6	0	90	75	77
7	0	75	160	85
8	0	95	120	87.2
9	0	70	95	81.6
10	0	99	85	59.9
11	1	85	135	74.9
12	1	90	150	74
13	0	35	238	95.6
14	0	120	85	86.6
15	0	80	100	109
16	1	65	90	91.7
17	1	80	109	89.7
18	0	70	85	77
19	0	70	100	75
20	1	50	60	73.8
21	0	60	85	73.3
22	0	69	60	82.6
23	0	85	70	68.7
24	1	80	75	98.9
25	0	140	80	89.4
26	1	80	100	90.6
27	1	70	75	99.3
28	1	80	160	104
29	0	65	80	75.4
30	0	80	150	70.8
31	0	65	65	74
32	0	75	120	67.8
33	0	35	135	77.1
34	1	115	110	91
35	0	115	100	90.4
36	0	90	145	90
37	0	50	50	85.6
38	1	100	125	77.8
39	0	55	55	94.7
40	0	95	55	52.5
41	1	159	110	76
42	0	100	60	62.4
43	0	42	0	74
44	1	75	75	89.4
45	1	165	100	83.8
46	1	45	100	84.4
47	0	100	110	88.8
48	1	70	100	93
49	1	100	135	82.8
50	1	130	200	75
51	0	100	120	87.4
52	0	65	150	87.4
53	1	60	100	90.2
54	1	165	150	94.4
55	1	100	80	86.6
56	1	100	100	86.6
57	0	65	125	82.7
58	0	95	50	78.6
59	0	100	125	77.8
60	1	95	120	78
61	0	70	100	80.8
62	1	90	65	97.8
63	1	80	90	96.6
64	1	119	60	88.3
65	0	30	90	92.2
66	0	50	100	84.4
