編號,性別,小考分數,睡覺時間,起床時間
1,男,7,2,12
2,女,9.5,3,11
3,女,10,2,12
4,女,10,2,8.5
5,男,5,1,9
6,女,5,0,6
7,男,3.5,0,10
8,女,8.5,0.5,7.5
9,男,9,1,10
10,男,8,0,9
11,女,9,0,12
12,女,9.5,23,8
13,女,7,0,9
14,女,10,22.5,7
15,女,8.5,0,11
16,女,9,0,9
17,女,9.5,0,8
18,女,6,1,10
19,男,8,1,9
20,女,10,2,12
21,女,9.5,1,10.5
22,男,8,1,10
23,女,5.5,2,8
24,男,9.5,0,8
25,男,7,1,11
26,女,10,23.5,9.5
27,女,5,2,11
28,男,4,2,10
29,女,9,2,10
30,女,9,0.5,7.5
31,男,8,1,6.5
32,女,8.5,2,10
33,女,9.5,0,9
34,女,9,0,8
35,女,5.5,1,9
36,女,7,3,12
37,男,5,0,7.5
38,男,9,0,7
39,男,8.5,22,6
40,男,3,0,10
41,女,9,2,9
42,男,7,1.5,9.5
43,女,8,2,12
44,女,7,1,10
45,女,8,0,10
46,男,10,0,8
47,男,10,1,7
48,男,7,1,9
49,男,9,1,10
50,男,7,0,11
51,男,7,0,9
52,女,9,2,11
53,女,8,1,8
54,男,7,1,9.5
55,男,7,22.5,8.5
56,女,10,0,11
57,男,7.5,0,9
58,男,7,0,10
